City,Station,FileName,Lat,Long,Address
Pimpri-Chinchwad,"Bhumkar Nagar, Pimpri-Chinchwad - IITM",Pimpri-Chinchwad_Bhumkar_Nagar__Pimpri-Chinchwad_-_IITM.csv,18.60577,73.749976,"System of Air Quality And Weather Forecasting Research, Near PCMC Water Tank, Bhagwan Nagar, Bhumkar Chowk, Wakad, Pune."
Pimpri-Chinchwad,"Bhosari,Pimpri-Chinchwad - IITM",Pimpri-Chinchwad_Bhosari_Pimpri-Chinchwad_-_IITM.csv,18.640051,73.848956,"System Of Air Quality And weather Forecasting Research Major Dhyanchand Hockey Stadium Bhosari Rd, MIDC, Pimpri Colony, Pimpri Chinchwad, Maharashtra"
Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad_Gavalinagar__Pimpri_Chinchwad_-_MPCB.csv,18.63673,73.82487,"PCMC Rose Garden, Gavalinagar, Bhosari, Pimpri Chinchwad, Pune, Maharashtra."
Pimpri-Chinchwad,"Transport Nagar-Nigdi, Pimpri-Chinchwad- IITM",Pimpri-Chinchwad_Transport_Nagar-Nigdi__Pimpri-Chinchwad-_IITM.csv,18.664282,73.763966,"System Of Air Quality And weather Forecasting Research Transport Nagar, Nigdi, Pimpri Chinchwad"
Pune,"Revenue Colony-Shivajinagar, Pune - IITM",Pune_Revenue_Colony-Shivajinagar__Pune_-_IITM.csv,18.530085,73.849598,"System Of Air Quality And weather Forecasting Research India Meteorological Department, University Rd, Revenue Colony, Shivajinagar, Pune"
Pune,"Mhada Colony, Pune - IITM",Pune_Mhada_Colony__Pune_-_IITM.csv,18.57304,73.927715,"System Of Air Quality And weather Forecasting Research CWE Office, Near Mhada Colony,Viman Nagar, In Front Of Airport, Pune"
Pune,"Savitribai Phule Pune University, Pune - MPCB",Pune_Savitribai_Phule_Pune_University__Pune_-_MPCB.csv,18.547056,73.826908,"Department of Environmental Sciences, Savitribai Phule Pune University Premises, Ganeshkhind Road, Pune."
Pune,"Hadapsar, Pune - IITM",Pune_Hadapsar__Pune_-_IITM.csv,18.501793,73.927532,"System Of Air Quality And weather Forecasting Research Ram Manohar Lohiya Udyan, Pune Solapur Road, Hadapsar"
Pune,"Katraj Dairy, Pune - MPCB",Pune_Katraj_Dairy__Pune_-_MPCB.csv,18.45445,73.854155,"Katraj Dairy Campus, in front of Sarhad college of arts, commerce and science, Near Pune-Kashmir Maitri chowk, Katraj, Pune."
Pune,"Dhankawadi, Pune - IITM",Pune_Dhankawadi__Pune_-_IITM.csv,18.459883,73.852193,"Bharati Vidyapeeth Campus, Dhankawadi, Pune."
Pune,"Panchawati_Pashan, Pune - IITM",Pune_Panchawati_Pashan__Pune_-_IITM.csv,18.536457,73.805454,"System Of Air Quality And Weather Forecasting Research, IITM, Dr. Homi Bhabha Road, Panchawati, Pashan, Pune."
Sangli,"Vijay Nagar, Sangli - MPCB",Sangli_Vijay_Nagar__Sangli_-_MPCB.csv,16.5038,74.3623,"Collector Office Premises, Near District Court, Sangali Miraj Road, Vijay Nagar, Sangli."
Solapur,"Ratandeep Housing Society, Solapur - MPCB",Solapur_Ratandeep_Housing_Society__Solapur_-_MPCB.csv,17.65439,75.90649,"New Revenue Building, Niyojan Bhavan, Saat Rasta, Ratandeep Housing Society, Solapur."
Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",Solapur_Dnyaneshwar_Nagar__Solapur_-_MPCB.csv,17.6336264,75.9132495,"Jule Police Chowki, Near Dumping Yard, Dnyaneshwar Nagar, Jule, Solapur"
Thane,"Upvan Fort, Thane - MPCB",Thane_Upvan_Fort__Thane_-_MPCB.csv,19.222279,72.957979,"Near Shree Palaydevi Mandir, Upvan Lake, Thane West."
Thane,"Kasarvadavali, Thane - MPCB",Thane_Kasarvadavali__Thane_-_MPCB.csv,19.26777,72.97182,"Childrens Traffic Park, Kavesar, Ghodbunder Road, Thane"
Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",Ulhasnagar_Sidhi_Vinayak_Nagar__Ulhasnagar_-_MPCB.csv,19.235581,73.159121,"Sidhi Vinayak Nagar, Gol Maidan, Ulhasnagar."
Virar,"Bolinj, Virar - MPCB",Virar_Bolinj__Virar_-_MPCB.csv,19.445821,72.7988231,"Bolinj Fish Market, Virar West"
